x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.502066, 0.0249712, 0.977594, -0.039172, 0.0229731, 0.0383498, 0.0594383, 1002.91, 5877.65
-0.512177, 0.0229896, 1.04449, -0.0275983, 0.0320706, 0.132597, 0.139184, 998.367, 4652.6
-0.433929, 0.0246058, 1.04552, -0.1504, 0.0250224, 0.0273491, 0.154901, 999.692, 4748.38
-0.498147, 0.0728241, 0.0503258, 0.00538248, -0.00390105, -0.00139994, 0.00679331, 1002.03, 15023.5
-0.498899, 0.0757817, 0.0996577, 0.00280972, 0.00599426, -0.00681096, 0.00949815, 999.29, 14087.9
-0.498992, 0.0754134, 0.148487, 0.00315766, 0.000853873, -0.0119803, 0.0124189, 1001.44, 13824.7
-0.499077, 0.075322, 0.197765, 0.00249029, 0.000424053, -0.0150868, 0.0152968, 1000.59, 13271.5
-0.499206, 0.0753678, 0.247152, 0.00219358, 0.000230962, -0.0183322, 0.0184645, 1000.8, 12812.3
-0.499294, 0.0753147, 0.296727, 0.00175507, -0.000251329, -0.0205728, 0.0206491, 1000.7, 12323.8
-0.499425, 0.0753623, 0.346468, 0.00149566, -0.000738269, -0.0219482, 0.0220115, 1000.67, 11841.8
-0.499538, 0.0753497, 0.396397, 0.00111272, -0.000705135, -0.0238538, 0.0238902, 1000.59, 11350.4
-0.499686, 0.0754265, 0.446522, 0.000700032, -0.000993216, -0.0235884, 0.0236196, 1000.56, 10864.2
-0.499829, 0.0754579, 0.496852, 0.000382995, -0.00133411, -0.0242486, 0.0242883, 1000.49, 10367
-0.500008, 0.0755649, 0.547422, 7.68321e-05, -0.00148412, -0.023619, 0.0236657, 1000.41, 9864.15
-0.500179, 0.0755721, 0.598252, -7.52761e-05, -0.00147088, -0.0235451, 0.0235911, 1000.28, 9356.58
-0.500399, 0.0755596, 0.649432, -0.000750085, -0.00233279, -0.0193994, 0.0195536, 1000.48, 8884.3
-0.500594, 0.0754527, 0.70099, -0.000891875, -0.00197194, -0.020263, 0.0203782, 1000.01, 8325.85
-0.500837, 0.0750228, 0.753162, -0.00359231, 0.00155686, -0.013947, 0.0144861, 1000.61, 7875.89
-0.501122, 0.0747074, 0.805936, -0.00381839, 0.00884728, -0.0132603, 0.0163918, 999.719, 7257.23
-0.501689, 0.0739289, 0.859961, -0.0193216, 0.0202747, 0.00725875, 0.0289323, 1000.96, 6916.1
-0.502588, 0.0730003, 0.916019, -0.0117353, 0.0478352, 0.0264203, 0.0558923, 1000.25, 6259.71
-0.502375, 0.0753201, 0.975076, -0.0468277, 0.0620156, 0.0498025, 0.0922988, 1002.94, 5901.15
-0.5129, 0.0703137, 1.04203, -0.024407, 0.069057, 0.148989, 0.166019, 998.094, 4667.73
-0.432029, 0.0721107, 1.03992, -0.095359, 0.1107, 0.0777849, 0.165524, 1007.55, 5546.06
-0.49852, 0.121934, 0.050333, 0.00340787, -0.00540754, -0.000802547, 0.00644198, 1001.9, 15006.5
-0.498829, 0.126044, 0.0997392, 0.00251414, 0.00763541, -0.00445308, 0.00918969, 999.46, 14106.8
-0.498943, 0.12553, 0.148759, 0.00245239, 0.000853062, -0.00753033, 0.00796542, 1001.37, 13817
-0.49899, 0.125402, 0.198099, 0.00209678, 0.000615489, -0.00998184, 0.0102182, 1000.6, 13269.3
-0.4991, 0.125469, 0.24751, 0.00185014, 0.000423915, -0.012534, 0.0126769, 1000.86, 12815.6
-0.499186, 0.125394, 0.297083, 0.00159234, -9.0907e-05, -0.01479, 0.0148758, 1000.74, 12325.4
-0.499301, 0.125463, 0.346808, 0.00127358, -0.000544206, -0.0164433, 0.0165015, 1000.78, 11850.6
-0.499419, 0.125451, 0.396697, 0.00109683, -0.000711287, -0.0181353, 0.0181824, 1000.74, 11365
-0.499553, 0.125557, 0.446777, 0.00080504, -0.000827831, -0.0194045, 0.0194389, 1000.73, 10881.2
-0.499709, 0.125615, 0.497049, 0.000658288, -0.00112419, -0.0201006, 0.0201428, 1000.73, 10393.7
-0.499872, 0.125762, 0.547554, 0.000507911, -0.00131642, -0.0210022, 0.0210496, 1000.73, 9901.01
-0.500078, 0.125816, 0.598302, 0.000839527, -0.0018626, -0.0220463, 0.0221408, 1000.61, 9394.37
-0.500291, 0.12582, 0.649367, 0.000410124, -0.00253968, -0.020644, 0.0208037, 1000.8, 8924.92
-0.500553, 0.125737, 0.700754, 0.000521248, -0.00207831, -0.0208263, 0.0209362, 1000.51, 8389.28
-0.500834, 0.125232, 0.752657, -0.0012193, 0.00205293, -0.0179646, 0.0181226, 1000.94, 7923.44
-0.50125, 0.124862, 0.804999, 0.00011539, 0.0089608, -0.0143828, 0.0169462, 999.854, 7288.99
-0.501951, 0.12413, 0.858729, -0.0117206, 0.0252499, 0.00609469, 0.0284969, 1001.29, 6965.99
