Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0.0335,-6.90073e-08,-0.0104958,2.49999,1,-0.000321126,7.90576e-06,0.000127663,4.23126e-05,-0.640993,-0.000509872,0,0,-3.68769,-1.73582e-11,4.92309e-08,0
0.034,-4.66026e-08,-0.0108185,2.49999,1,-0.00035438,8.24583e-06,0.000145156,4.72526e-05,-0.649963,-0.000508343,0,0,-3.68769,-1.95767e-11,4.92309e-08,0
0.0345,-2.18094e-08,-0.0111458,2.49999,1,-0.000384227,8.59355e-06,0.000161679,5.18666e-05,-0.658883,-0.000507866,0,0,-3.68769,-2.16484e-11,4.92309e-08,0
0.035,5.20959e-09,-0.0114774,2.49999,1,-0.0004107,8.94866e-06,0.000177212,5.61573e-05,-0.667751,-0.000508413,0,0,-3.68769,-2.35724e-11,4.92309e-08,0
0.0355,3.42656e-08,-0.0118135,2.49999,1,-0.0004341,9.30598e-06,0.000190913,5.99484e-05,-0.676569,-0.000509883,0,0,-3.68769,-2.52703e-11,4.92309e-08,0
0.036,6.50365e-08,-0.012154,2.49999,1,-0.000454656,9.66113e-06,0.000202133,6.30167e-05,-0.685333,-0.000512204,0,0,-3.68769,-2.66816e-11,4.92309e-08,0
0.0365,9.7166e-08,-0.0124988,2.49999,1,-0.000472223,1.00145e-05,0.000211043,6.54004e-05,-0.694046,-0.000515357,0,0,-3.68769,-2.78211e-11,4.92309e-08,0
0.037,1.30336e-07,-0.012848,2.49999,1,-0.000486643,1.03666e-05,0.000217832,6.71824e-05,-0.702705,-0.000519403,0,0,-3.68769,-2.87041e-11,4.92309e-08,0
0.0375,1.64251e-07,-0.0132015,2.49999,1,-0.000497936,1.07173e-05,0.00022252,6.83805e-05,-0.711309,-0.000524321,0,0,-3.68769,-2.93344e-11,4.92309e-08,0
0.038,1.98622e-07,-0.0135593,2.49999,1,-0.00050612,1.10661e-05,0.000225127,6.90122e-05,-0.719859,-0.000530086,0,0,-3.68769,-2.97129e-11,4.92309e-08,0
0.0385,2.33171e-07,-0.0139214,2.49999,1,-0.000511215,1.14128e-05,0.000225676,6.90954e-05,-0.728354,-0.000536678,0,0,-3.68769,-2.98428e-11,4.92309e-08,0
0.039,2.67628e-07,-0.0142877,2.49999,1,-0.000513235,1.1757e-05,0.000224192,6.86487e-05,-0.736794,-0.000544072,0,0,-3.68769,-2.97271e-11,4.92309e-08,0
0.0395,3.01734e-07,-0.0146582,2.49999,1,-0.000512199,1.20985e-05,0.000220703,6.7691e-05,-0.745177,-0.000552248,0,0,-3.68769,-2.9368e-11,4.92309e-08,0
0.04,3.35237e-07,-0.0150328,2.49998,1,-0.000508119,1.24369e-05,0.000215237,6.62417e-05,-0.753504,-0.000561183,0,0,-3.68769,-2.87689e-11,4.92309e-08,0
0.0405,3.67896e-07,-0.0154117,2.49998,1,-0.000501009,1.2772e-05,0.000207826,6.43205e-05,-0.761773,-0.000570856,0,0,-3.68769,-2.79332e-11,4.92309e-08,0
0.041,3.99482e-07,-0.0157946,2.49998,1,-0.000490883,1.31033e-05,0.000198503,6.19476e-05,-0.769986,-0.000581244,0,0,-3.68769,-2.68642e-11,4.9231e-08,0
0.0415,4.29772e-07,-0.0161816,2.49998,1,-0.000477751,1.34307e-05,0.000187306,5.91438e-05,-0.778141,-0.000592327,0,0,-3.68769,-2.5566e-11,4.9231e-08,0
0.042,4.58567e-07,-0.0165727,2.49998,1,-0.000461624,1.37537e-05,0.000174244,5.5991e-05,-0.786237,-0.000604192,0,0,-3.68769,-2.40392e-11,4.9231e-08,0
0.0425,4.85696e-07,-0.0169679,2.49998,1,-0.000442511,1.40728e-05,0.000159261,5.24546e-05,-0.794275,-0.000616764,0,0,-3.68769,-2.2279e-11,4.9231e-08,0
