x,y,z,absv,wx,wy,wz
71.3223,-74.2804,-29.9588,29.6285,-14.752,52.4188,-2.58699
71.3553,-76.3413,-19.5321,20.1029,-4.78679,-4.85109,-58.5198
71.3019,-77.7899,-24.1728,20.5823,-15.7637,26.0558,21.2794
71.4024,-82.341,-13.0536,22.099,-12.9356,19.9506,11.134
71.4418,-78.5504,-8.11843,22.4443,-1.80686,-1.78961,-19.0203
71.4227,-79.2124,-9.97587,24.5049,-14.0655,4.2717,-22.8456
71.4393,-75.0422,-1.80784,26.068,-10.0435,-8.92756,0.688517
71.3636,-76.7299,-22.5309,22.2136,15.6364,-9.7227,10.8233
71.3661,-78.1078,-11.6082,29.9419,-28.0211,17.162,-12.2685
71.3401,-81.0628,-11.5675,16.1763,27.5978,2.623,-4.83886
71.3674,-78.8792,-17.2314,22.4463,-28.54,30.9263,-10.2007
71.3153,-79.1971,-15.346,30.6239,14.0234,-29.6998,-14.739
71.3515,-75.2349,-25.828,11.2111,10.2145,-13.0907,34.2576
71.3763,-76.5645,-7.05013,19.7534,20.0545,-16.6413,-5.94998
71.3954,-79.2035,-6.28579,21.7764,-2.72602,4.96757,-10.9181
71.4119,-77.1178,-9.43536,21.7779,11.3085,-0.23223,2.2219
71.3426,-74.7071,-17.9639,20.6957,0.518875,9.88796,-17.8388
71.4024,-76.1786,-11.1434,18.041,0.716496,-12.0673,12.4506
71.3502,-82.61,-8.08918,19.8423,-6.62068,-20.4524,32.2195
71.4151,-80.1103,-0.323669,23.2058,-7.0023,15.0875,7.37252
71.4272,-78.0652,-3.36705,28.3342,10.8644,-14.6827,19.9515
71.5048,-77.4999,1.36844,20.0446,4.57723,-1.41546,-3.98423
71.4202,-70.879,-6.68958,31.5367,11.0161,6.47351,0.634899
71.4399,-76.1321,-0.155792,20.7245,16.8953,-2.91479,10.9638
71.5295,-83.4201,-2.40303,18.4003,-4.20888,-5.53835,-8.32223
73.4709,-77.3193,1.21964,25.0617,2.14723,12.3226,-1.02892
71.4348,-79.2601,2.33181,27.9458,-1.18363,0.344091,-3.60511
72.8681,-82.4917,1.25589,28.8393,1.25045,-1.88745,6.24877
71.4532,-77.292,3.34479,22.7591,-1.14202,3.96476,-3.12874
71.4666,-75.4511,4.09005,25.2339,2.73597,0.145724,-2.20561
72.9883,-75.4416,0.85909,20.8434,-0.616486,0.413268,5.74957
71.4545,-70.0587,3.97242,22.9095,-7.96817,0.476723,-2.55868
71.403,-78.1117,-0.498538,24.2275,14.2035,-3.7162,-0.963537
71.4304,-71.204,-0.481368,20.0849,-12.451,-19.1566,-17.369
71.9384,-80.839,-5.35548,18.255,-12.5391,15.8783,-0.555088
72.0198,-78.9186,4.47096,34.7532,-2.00306,8.78183,1.24836
71.4564,-75.6508,2.10099,21.1814,7.17586,2.57785,2.25278
71.3782,-71.2523,-22.3376,21.9475,2.59611,0.133366,22.3175
71.3324,-69.372,-22.8222,14.8921,1.54499,-11.8777,-20.9253
72.7015,-72.2322,-18.907,17.5305,-20.0048,19.2943,4.59499
71.3788,-69.6975,-24.7915,22.6187,-7.65048,-31.1179,-2.80422
72.9171,-74.6397,-24.9359,17.2728,30.6758,4.34791,-4.33332
71.4284,-72.4834,-31.2274,21.2478,34.6601,-20.2415,-2.77143
71.3032,-73.3126,-32.9621,9.95518,-3.57984,19.8557,28.2169
71.3394,-73.6769,-24.5925,15.6328,1.58105,16.0187,-4.55974
71.2091,-74.8642,-45.4682,10.6148,16.3366,43.3683,-10.6879
71.3865,-74.3287,-37.2092,21.0506,34.5882,33.1848,8.43609
71.3426,-72.3117,-47.1011,7.01619,6.04356,45.3453,35.032
71.3382,-76.1887,-47.3135,17.393,-1.16467,-2.69449,11.1448
71.4297,-74.2658,-47.2461,19.413,16.4222,50.371,17.8656
71.2701,-74.7542,-27.7281,17.9179,22.708,-7.07556,8.67575
71.4049,-73.2573,-26.4563,16.6516,-4.24405,-18.6202,-1.9166
71.272,-73.0951,-48.8428,20.3711,-5.71106,-50.3458,-16.6499
71.4373,-74.2658,0.571667,22.1333,15.1706,-11.665,-2.34205
71.3808,-71.5747,-20.1603,19.9242,-1.87384,23.449,21.9052
72.8643,-73.5663,-9.60451,19.1397,-2.68807,2.27215,5.10564
71.4602,-74.2715,-10.7529,16.2171,-14.0457,-7.03366,-12.7781
71.4424,-75.144,-8.92219,34.4077,-7.15899,10.2048,-7.79739
72.2882,-70.0511,-14.9263,16.1722,-10.2034,13.7045,-0.175808
71.417,-73.5402,-15.4484,16.5001,-4.35505,-3.80053,3.31537
71.3273,-72.533,-29.2815,17.6808,-13.0746,0.968292,15.7798
